entry_time,exit_time,direction,strike_price,entry_price_cents,exit_price_cents,bet_size,contracts,pnl_dollars,pnl_pct,exit_reason,momentum_at_entry,confidence_at_entry,edge_at_entry,btc_price_at_entry,hold_candles,peak_pnl_pct
2017-08-17T12:15:00,2017-08-17T12:15:00,NO,4441.87,50.0,75.0,12.5,25,6.25,50.0,take_profit,-0.5971,0.224,0.172,4441.87,1,50.0
2017-08-17T12:15:00,2017-08-17T12:15:00,NO,4419.66,23.16,34.73,12.5,53,6.1362,50.0,take_profit,-0.5971,0.224,0.4404,4441.87,1,50.0
2017-08-17T12:30:00,2017-08-17T12:30:00,NO,4418.12,50.0,0.0,12.5,25,-12.5,-100.0,expired,-0.1627,0.208,0.13,4418.12,1,0.0
2017-08-17T12:30:00,2017-08-17T12:30:00,NO,4396.03,23.18,15.07,12.5,53,-4.2997,-35.0,stop_loss,-0.1627,0.208,0.3982,4418.12,1,0.0
2017-08-18T03:30:00,2017-08-18T03:30:00,YES,4265.99,22.79,34.18,18.75,82,9.3419,50.0,take_profit,0.3605,0.216,0.4391,4244.77,1,50.0
2017-08-18T03:30:00,2017-08-18T03:30:00,YES,4244.77,50.0,75.0,18.75,37,9.25,50.0,take_profit,0.3605,0.216,0.167,4244.77,1,50.0
2017-08-18T03:45:00,2017-08-18T03:45:00,YES,4299.2,22.9,34.34,18.75,81,9.2726,50.0,take_profit,0.3118,0.216,0.438,4277.81,1,50.0
2017-08-18T03:45:00,2017-08-18T03:45:00,YES,4277.81,50.0,100.0,18.75,37,18.5,100.0,expired,0.3118,0.216,0.167,4277.81,1,100.0
2017-08-18T22:15:00,2017-08-18T22:15:00,YES,4081.49,30.96,46.44,12.5,40,6.1914,50.0,take_profit,0.7478,0.216,0.3574,4061.18,1,50.0
2017-08-18T22:15:00,2017-08-18T22:15:00,YES,4061.18,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.7478,0.216,0.167,4061.18,1,50.0
2017-08-18T22:30:00,2017-08-18T22:30:00,YES,4082.52,30.63,45.95,12.5,40,6.1267,50.0,take_profit,0.5125,0.216,0.3607,4062.21,1,50.0
2017-08-18T22:30:00,2017-08-18T22:30:00,YES,4062.21,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.5125,0.216,0.167,4062.21,1,50.0
2017-08-19T03:45:00,2017-08-19T03:45:00,NO,4116.0,50.0,35.0,14.06,28,-4.2,-30.0,stop_loss,-0.3183,0.224,0.172,4116.0,1,0.0
2017-08-19T03:45:00,2017-08-19T03:45:00,NO,4095.42,13.19,9.23,12.94,98,-3.8764,-30.0,stop_loss,-0.3183,0.224,0.5401,4116.0,1,0.0
